hashtag_H   cluster_C_leader(userID)   relative_frequency_H_C  frequency_H_in_C  frequency_H_overall   count_H_in_C   count_hashtags_in_C   count_H_entire_dataset    count_hashtags_entire_dataset
handsoffhitler	1046608631968538624	690.24434389140271815529	.92307692307692307692	.00133731906859660163	12	13	17	12712
stopkissinger	1046608631968538624	977.84615384615395300309	.07692307692307692307	.00007866582756450597	1	13	1	12712
handsoffhitler	1046608631968538624	690.24434389140271815529	.92307692307692307692	.00133731906859660163	12	13	17	12712
muskoka	1236324668640047105	56.75000000000000078655	.01785714285714285714	.00031466331025802391	2	112	4	12712
balafalls	1236324668640047105	113.50000000000001239420	.00892857142857142857	.00007866582756450597	1	112	1	12712
hydroplant	1236324668640047105	113.50000000000001239420	.00892857142857142857	.00007866582756450597	1	112	1	12712
muskokalakes	1236324668640047105	113.50000000000001239420	.00892857142857142857	.00007866582756450597	1	112	1	12712
bala	1236324668640047105	227.00000000000002478840	.01785714285714285714	.00007866582756450597	2	112	1	12712
bracebridge	1236324668640047105	113.50000000000001239420	.00892857142857142857	.00007866582756450597	1	112	1	12712
idu	1236324668640047105	9.45833333333333336423	.00892857142857142857	.00094398993077407174	1	112	12	12712
conservative	1236324668640047105	24.32142857142857143440	.05357142857142857142	.00220264317180616740	6	112	28	12712
nevervoteconservative	1236324668640047105	4.24299065420560747621	.03571428571428571428	.00841724354940213971	4	112	107	12712
cdnpoli	1236324668640047105	5.49193548387096774486	.02678571428571428571	.00487728130899937067	3	112	62	12712
onpoli	1236324668640047105	3.37128712871287129036	.02678571428571428571	.00794524858401510383	3	112	101	12712
abpoli	1236324668640047105	5.67500000000000000651	.00892857142857142857	.00157331655129011957	1	112	20	12712
neverforget	1236324668640047105	7.09375000000000001377	.01785714285714285714	.00251730648206419131	2	112	32	12712
nevervoteconservative	1236324668640047105	4.24299065420560747621	.03571428571428571428	.00841724354940213971	4	112	107	12712
cdnpoli	1236324668640047105	5.49193548387096774486	.02678571428571428571	.00487728130899937067	3	112	62	12712
onpoli	1236324668640047105	3.37128712871287129036	.02678571428571428571	.00794524858401510383	3	112	101	12712
iamcanadian	1236324668640047105	18.91666666666666672846	.00892857142857142857	.00047199496538703587	1	112	6	12712
istandwithtrudeau	1236324668640047105	11.35000000000000008517	.00892857142857142857	.00078665827564505978	1	112	10	12712
liberals	1236324668640047105	28.37500000000000039327	.01785714285714285714	.00062932662051604782	2	112	8	12712
trudeau	1236324668640047105	37.83333333333333345692	.01785714285714285714	.00047199496538703587	2	112	6	12712
philrioux	1236324668640047105	227.00000000000002478840	.01785714285714285714	.00007866582756450597	2	112	1	12712
philriouxtrucking	1236324668640047105	113.50000000000001239420	.00892857142857142857	.00007866582756450597	1	112	1	12712
trucker	1236324668640047105	56.75000000000000259007	.00892857142857142857	.00015733165512901195	1	112	2	12712
truckyou	1236324668640047105	56.75000000000000259007	.00892857142857142857	.00015733165512901195	1	112	2	12712
ottawa	1236324668640047105	3.99647887323943661965	.04464285714285714285	.01117054751415984896	5	112	142	12712
quebec	1236324668640047105	22.70000000000000017034	.00892857142857142857	.00039332913782252989	1	112	5	12712
rightwing	1236324668640047105	4.93478260869565219457	.00892857142857142857	.00180931403398363750	1	112	23	12712
profits	1236324668640047105	8.40740740740740741507	.01785714285714285714	.00212397734424166142	2	112	27	12712
profitsoverpeople	1236324668640047105	7.09375000000000004195	.00892857142857142857	.00125865324103209565	1	112	16	12712
nevervoteconservative	1236324668640047105	4.24299065420560747621	.03571428571428571428	.00841724354940213971	4	112	107	12712
childcare	1236324668640047105	32.42857142857142857921	.01785714285714285714	.00055066079295154185	2	112	7	12712
forthewealthy	1236324668640047105	113.50000000000001239420	.00892857142857142857	.00007866582756450597	1	112	1	12712
childcare	1236324668640047105	32.42857142857142857921	.01785714285714285714	.00055066079295154185	2	112	7	12712
liberals	1236324668640047105	28.37500000000000039327	.01785714285714285714	.00062932662051604782	2	112	8	12712
pmjt	1236324668640047105	56.75000000000000259007	.00892857142857142857	.00015733165512901195	1	112	2	12712
forthepeople	1236324668640047105	16.21428571428571428960	.01785714285714285714	.00110132158590308370	2	112	14	12712
cdnpoli	1236324668640047105	5.49193548387096774486	.02678571428571428571	.00487728130899937067	3	112	62	12712
ontario	1236324668640047105	7.82758620689655173827	.03571428571428571428	.00456261799874134675	4	112	58	12712
ford	1236324668640047105	75.66666666666666692443	.14285714285714285714	.00188797986154814348	16	112	24	12712
ottawaoccupied	1236324668640047105	14.18750000000000019663	.00892857142857142857	.00062932662051604782	1	112	8	12712
ottawaseige	1236324668640047105	14.18750000000000019663	.00892857142857142857	.00062932662051604782	1	112	8	12712
torontooccupation	1236324668640047105	113.50000000000001239420	.00892857142857142857	.00007866582756450597	1	112	1	12712
ford	1236324668640047105	75.66666666666666692443	.14285714285714285714	.00188797986154814348	16	112	24	12712
whereisdougford	1236324668640047105	7.09375000000000004195	.00892857142857142857	.00125865324103209565	1	112	16	12712
nevervoteconservative	1236324668640047105	4.24299065420560747621	.03571428571428571428	.00841724354940213971	4	112	107	12712
neverforget	1236324668640047105	7.09375000000000001377	.01785714285714285714	.00251730648206419131	2	112	32	12712
conservative	1236324668640047105	24.32142857142857143440	.05357142857142857142	.00220264317180616740	6	112	28	12712
propaganda	1236324668640047105	113.50000000000001239420	.00892857142857142857	.00007866582756450597	1	112	1	12712
gobillsgo	1236324668640047105	113.50000000000001239420	.00892857142857142857	.00007866582756450597	1	112	1	12712
nfl	1236324668640047105	7.56666666666666672344	.00892857142857142857	.00117998741346758967	1	112	15	12712
